id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint
010BMA0360,10,BR-10,MA,Eixo Principal,,0.0,340.0,340.0,PLA,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|0
010BMA0370,10,BR-10,MA,Eixo Principal,Imperatriz,340.0,1288.0,948.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|340
010BMA0390,10,BR-10,MA,Eixo Principal,Imperatriz,1288.0,1564.0,276.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|1288
010BMA0400,10,BR-10,MA,Eixo Principal,Imperatriz,1564.0,1768.0,204.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|1564
010BMA0410,10,BR-10,MA,Eixo Principal,Imperatriz,1768.0,2035.0,267.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|1768
010BMA0420,10,BR-10,MA,Eixo Principal,Imperatriz,2035.0,2231.0,196.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2035
010BMA0425,10,BR-10,MA,Eixo Principal,Imperatriz,2231.0,2464.0,233.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2231
010BMA0430,10,BR-10,MA,Eixo Principal,Imperatriz,2464.0,2536.0,72.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2464
010BMA0440,10,BR-10,MA,Eixo Principal,Imperatriz,2536.0,2608.0,72.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2536
010BMA0450,10,BR-10,MA,Eixo Principal,Imperatriz,2608.0,2952.0,344.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2608
010BMA0460,10,BR-10,MA,Eixo Principal,Imperatriz,2952.0,3198.0,246.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2952
010BMA0470,10,BR-10,MA,Eixo Principal,Imperatriz,3198.0,3786.0,588.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|3198
020API1005,20,BR-20,PI,Acesso,Picos,0.0,7.0,7.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|0
020API2005,20,BR-20,PI,Acesso,Picos,0.0,19.0,19.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|0
020BBA0220,20,BR-20,BA,Eixo Principal,Barreiras,0.0,181.0,181.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|0
020BBA0225,20,BR-20,BA,Eixo Principal,Barreiras,181.0,757.0,576.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|181
020BBA0230,20,BR-20,BA,Eixo Principal,Barreiras,757.0,1299.0,542.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|757
020BBA0235,20,BR-20,BA,Eixo Principal,Barreiras,1299.0,1359.0,60.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|1299
020BBA0240,20,BR-20,BA,Eixo Principal,Barreiras,1359.0,2121.0,762.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|1359
020BBA0250,20,BR-20,BA,Eixo Principal,Barreiras,2121.0,2178.0,57.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|2121
020BBA0255,20,BR-20,BA,Eixo Principal,Barreiras,2178.0,2369.0,191.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|2178
020BBA0257,20,BR-20,BA,Eixo Principal,Barreiras,2369.0,2989.0,620.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|BA|2369
