year,code_uf,sigla,uf,code_muni,nome_muni,pib_total_2021_brl,pib_pc_2021_brl
2021,21,MA,Maranhão,2100055,Açailândia,3828780000,33649.84
2021,21,MA,Maranhão,2100105,Afonso Cunha,85068000,12828.8
2021,21,MA,Maranhão,2100154,Água Doce do Maranhão,101672000,7986.15
2021,21,MA,Maranhão,2100204,Alcântara,148797000,6725
2021,21,MA,Maranhão,2100303,Aldeias Altas,249450000,9246.08
2021,21,MA,Maranhão,2100402,Altamira do Maranhão,71526000,8669.76
2021,21,MA,Maranhão,2100436,Alto Alegre do Maranhão,303156000,10801.55
2021,21,MA,Maranhão,2100477,Alto Alegre do Pindaré,251786000,7876.42
2021,21,MA,Maranhão,2100501,Alto Parnaíba,578991000,51543.79
2021,21,MA,Maranhão,2100550,Amapá do Maranhão,70213000,9963.57
2021,21,MA,Maranhão,2100600,Amarante do Maranhão,388693000,9250.86
2021,21,MA,Maranhão,2100709,Anajatuba,207643000,7642.36
2021,21,MA,Maranhão,2100808,Anapurus,149133000,9289.48
2021,21,MA,Maranhão,2100832,Apicum-Açu,133979000,7620.23
2021,21,MA,Maranhão,2100873,Araguanã,101754000,6491.48
2021,21,MA,Maranhão,2100907,Araioses,282823000,6005.38
2021,21,MA,Maranhão,2100956,Arame,290362000,8845.77
2021,21,MA,Maranhão,2101004,Arari,313303000,10438.57
2021,21,MA,Maranhão,2101103,Axixá,97443000,7964.97
2021,21,MA,Maranhão,2101202,Bacabal,1514711000,14412.91
2021,21,MA,Maranhão,2101251,Bacabeira,599322000,34352.98
2021,21,MA,Maranhão,2101301,Bacuri,122906000,6563.37
2021,21,MA,Maranhão,2101350,Bacurituba,39600000,6952.32
2021,21,MA,Maranhão,2101400,Balsas,6307610000,65059.77
2021,21,MA,Maranhão,2101509,Barão de Grajaú,268565000,14115.69
2021,21,MA,Maranhão,2101608,Barra do Corda,889327000,10004.24
2021,21,MA,Maranhão,2101707,Barreirinhas,635796000,9951.26
2021,21,MA,Maranhão,2101731,Belágua,60734000,8006.04
2021,21,MA,Maranhão,2101772,Bela Vista do Maranhão,107575000,9480.51
2021,21,MA,Maranhão,2101806,Benedito Leite,73162000,12965.11
2021,21,MA,Maranhão,2101905,Bequimão,138140000,6480.26
2021,21,MA,Maranhão,2101939,Bernardo do Mearim,105126000,17228.18
2021,21,MA,Maranhão,2101970,Boa Vista do Gurupi,67554000,7953.1
2021,21,MA,Maranhão,2102002,Bom Jardim,411430000,9793.62
2021,21,MA,Maranhão,2102036,Bom Jesus das Selvas,375736000,10706.25
2021,21,MA,Maranhão,2102077,Bom Lugar,117983000,7116.84
2021,21,MA,Maranhão,2102101,Brejo,328697000,8907.79
2021,21,MA,Maranhão,2102150,Brejo de Areia,71082000,8040.01
2021,21,MA,Maranhão,2102200,Buriti,277995000,9613.88
2021,21,MA,Maranhão,2102309,Buriti Bravo,238710000,9949.14
2021,21,MA,Maranhão,2102325,Buriticupu,748132000,10165.53
2021,21,MA,Maranhão,2102358,Buritirana,122497000,7901.52
2021,21,MA,Maranhão,2102374,Cachoeira Grande,60992000,6404.03
2021,21,MA,Maranhão,2102408,Cajapió,70673000,6279.23
2021,21,MA,Maranhão,2102507,Cajari,128111000,6562.71
2021,21,MA,Maranhão,2102556,Campestre do Maranhão,214038000,14730.8
2021,21,MA,Maranhão,2102606,Cândido Mendes,146821000,7205.58
2021,21,MA,Maranhão,2102705,Cantanhede,153436000,6900.34
2021,21,MA,Maranhão,2102754,Capinzal do Norte,284011000,25967.91
2021,21,MA,Maranhão,2102804,Carolina,525940000,21777.14
2021,21,MA,Maranhão,2102903,Carutapera,202040000,8385.15
2021,21,MA,Maranhão,2103000,Caxias,2112941000,12716.38
2021,21,MA,Maranhão,2103109,Cedral,78602000,7338.43
2021,21,MA,Maranhão,2103125,Central do Maranhão,58363000,6627.67
2021,21,MA,Maranhão,2103158,Centro do Guilherme,103761000,7477.72
2021,21,MA,Maranhão,2103174,Centro Novo do Maranhão,200805000,9104.32
2021,21,MA,Maranhão,2103208,Chapadinha,894509000,11083.69
2021,21,MA,Maranhão,2103257,Cidelândia,183588000,12358.65
2021,21,MA,Maranhão,2103307,Codó,1648786000,13364.78
2021,21,MA,Maranhão,2103406,Coelho Neto,462763000,9291.68
2021,21,MA,Maranhão,2103505,Colinas,553253000,13349.73
2021,21,MA,Maranhão,2103554,Conceição do Lago-Açu,147232000,8891.36
2021,21,MA,Maranhão,2103604,Coroatá,533670000,8111.96
2021,21,MA,Maranhão,2103703,Cururupu,264588000,8126.4
2021,21,MA,Maranhão,2103752,Davinópolis,190230000,14720.3
2021,21,MA,Maranhão,2103802,Dom Pedro,262586000,11224.99
2021,21,MA,Maranhão,2103901,Duque Bacelar,86926000,7591.12
2021,21,MA,Maranhão,2104008,Esperantinópolis,159009000,9369.44
2021,21,MA,Maranhão,2104057,Estreito,1138794000,26423.96
2021,21,MA,Maranhão,2104073,Feira Nova do Maranhão,118019000,13874.85
2021,21,MA,Maranhão,2104081,Fernando Falcão,100433000,9511.64
2021,21,MA,Maranhão,2104099,Formosa da Serra Negra,202181000,10408.29
2021,21,MA,Maranhão,2104107,Fortaleza dos Nogueiras,346720000,27382.7
2021,21,MA,Maranhão,2104206,Fortuna,143321000,8046.3
2021,21,MA,Maranhão,2104305,Godofredo Viana,2658714000,219655.83
2021,21,MA,Maranhão,2104404,Gonçalves Dias,150088000,8360.04
2021,21,MA,Maranhão,2104503,Governador Archer,91925000,8409.54
2021,21,MA,Maranhão,2104552,Governador Edison Lobão,375030000,20012.29
2021,21,MA,Maranhão,2104602,Governador Eugênio Barros,118448000,8056.04
2021,21,MA,Maranhão,2104628,Governador Luiz Rocha,71094000,9024.42
2021,21,MA,Maranhão,2104651,Governador Newton Bello,84191000,8318.48
2021,21,MA,Maranhão,2104677,Governador Nunes Freire,258016000,10117.49
2021,21,MA,Maranhão,2104701,Graça Aranha,54166000,8651.28
2021,21,MA,Maranhão,2104800,Grajaú,1149837000,16265.45
2021,21,MA,Maranhão,2104909,Guimarães,93414000,7806.63
2021,21,MA,Maranhão,2105005,Humberto de Campos,184411000,6327.78
2021,21,MA,Maranhão,2105104,Icatu,178973000,6526.37
2021,21,MA,Maranhão,2105153,Igarapé do Meio,370692000,25617.96
2021,21,MA,Maranhão,2105203,Igarapé Grande,117754000,10281.52
2021,21,MA,Maranhão,2105302,Imperatriz,7693511000,29592.7
2021,21,MA,Maranhão,2105351,Itaipava do Grajaú,107310000,6641.29
2021,21,MA,Maranhão,2105401,Itapecuru Mirim,772940000,11164.32
2021,21,MA,Maranhão,2105427,Itinga do Maranhão,489270000,18721.59
2021,21,MA,Maranhão,2105450,Jatobá,75706000,7234.91
2021,21,MA,Maranhão,2105476,Jenipapo dos Vieiras,125762000,7344.62
2021,21,MA,Maranhão,2105500,João Lisboa,270665000,11431.55
2021,21,MA,Maranhão,2105609,Joselândia,116564000,7182.9
2021,21,MA,Maranhão,2105658,Junco do Maranhão,61714000,14239.39
2021,21,MA,Maranhão,2105708,Lago da Pedra,550477000,10802.34
2021,21,MA,Maranhão,2105807,Lago do Junco,86662000,7950.66
2021,21,MA,Maranhão,2105906,Lago Verde,135765000,8294.05
2021,21,MA,Maranhão,2105922,Lagoa do Mato,97026000,8601.56
2021,21,MA,Maranhão,2105948,Lago dos Rodrigues,83998000,9500.91
2021,21,MA,Maranhão,2105963,Lagoa Grande do Maranhão,102454000,8882.77
2021,21,MA,Maranhão,2105989,Lajeado Novo,101485000,13260.77
2021,21,MA,Maranhão,2106003,Lima Campos,274574000,22990.34
2021,21,MA,Maranhão,2106102,Loreto,413287000,33679.95
2021,21,MA,Maranhão,2106201,Luís Domingues,57351000,8174.33
2021,21,MA,Maranhão,2106300,Magalhães de Almeida,140989000,6970.01
2021,21,MA,Maranhão,2106326,Maracaçumé,207076000,9510.69
2021,21,MA,Maranhão,2106359,Marajá do Sena,90824000,11708.59
2021,21,MA,Maranhão,2106375,Maranhãozinho,120934000,7218.19
2021,21,MA,Maranhão,2106409,Mata Roma,179239000,10468.37
2021,21,MA,Maranhão,2106508,Matinha,196785000,8341.52
2021,21,MA,Maranhão,2106607,Matões,256405000,7519.44
2021,21,MA,Maranhão,2106631,Matões do Norte,99343000,5737.04
2021,21,MA,Maranhão,2106672,Milagres do Maranhão,64355000,7569.41
2021,21,MA,Maranhão,2106706,Mirador,277841000,13202.25
2021,21,MA,Maranhão,2106755,Miranda do Norte,788634000,27081.27
2021,21,MA,Maranhão,2106805,Mirinzal,112073000,7442.26
2021,21,MA,Maranhão,2106904,Monção,257693000,7604.26
2021,21,MA,Maranhão,2107001,Montes Altos,86501000,9543.41
2021,21,MA,Maranhão,2107100,Morros,149936000,7607.88
2021,21,MA,Maranhão,2107209,Nina Rodrigues,88539000,5971.88
2021,21,MA,Maranhão,2107258,Nova Colinas,86441000,15805.56
2021,21,MA,Maranhão,2107308,Nova Iorque,50977000,10887.92
2021,21,MA,Maranhão,2107357,Nova Olinda do Maranhão,183185000,8629.42
2021,21,MA,Maranhão,2107407,Olho d'Água das Cunhãs,188405000,9604.66
2021,21,MA,Maranhão,2107456,Olinda Nova do Maranhão,107307000,7169.1
2021,21,MA,Maranhão,2107506,Paço do Lumiar,1240527000,9903.22
2021,21,MA,Maranhão,2107605,Palmeirândia,139135000,7012.83
2021,21,MA,Maranhão,2107704,Paraibano,183383000,8501.35
2021,21,MA,Maranhão,2107803,Parnarama,323004000,9200.29
2021,21,MA,Maranhão,2107902,Passagem Franca,200120000,10394.2
2021,21,MA,Maranhão,2108009,Pastos Bons,309545000,15718.51
2021,21,MA,Maranhão,2108058,Paulino Neves,118360000,7263.57
2021,21,MA,Maranhão,2108108,Paulo Ramos,194181000,9206.4
2021,21,MA,Maranhão,2108207,Pedreiras,787721000,20119.04
2021,21,MA,Maranhão,2108256,Pedro do Rosário,157904000,6177.79
2021,21,MA,Maranhão,2108306,Penalva,253791000,6509.64
