year,uf,code_uf,code_muni,nome_muni,pop_2021
2021,MA,21,55,Açailândia,113783
2021,MA,21,105,Afonso Cunha,6631
2021,MA,21,154,Água Doce do Maranhão,12731
2021,MA,21,204,Alcântara,22126
2021,MA,21,303,Aldeias Altas,26979
2021,MA,21,402,Altamira do Maranhão,8250
2021,MA,21,436,Alto Alegre do Maranhão,28066
2021,MA,21,477,Alto Alegre do Pindaré,31967
2021,MA,21,501,Alto Parnaíba,11233
2021,MA,21,550,Amapá do Maranhão,7047
2021,MA,21,600,Amarante do Maranhão,42017
2021,MA,21,709,Anajatuba,27170
2021,MA,21,808,Anapurus,16054
2021,MA,21,832,Apicum-Açu,17582
2021,MA,21,873,Araguanã,15675
2021,MA,21,907,Araioses,47095
2021,MA,21,956,Arame,32825
2021,MA,21,1004,Arari,30014
2021,MA,21,1103,Axixá,12234
2021,MA,21,1202,Bacabal,105094
2021,MA,21,1251,Bacabeira,17446
2021,MA,21,1301,Bacuri,18726
2021,MA,21,1350,Bacurituba,5696
2021,MA,21,1400,Balsas,96951
2021,MA,21,1509,Barão de Grajaú,19026
2021,MA,21,1608,Barra do Corda,88895
2021,MA,21,1707,Barreirinhas,63891
2021,MA,21,1731,Belágua,7586
2021,MA,21,1772,Bela Vista do Maranhão,11347
2021,MA,21,1806,Benedito Leite,5643
2021,MA,21,1905,Bequimão,21317
2021,MA,21,1939,Bernardo do Mearim,6102
2021,MA,21,1970,Boa Vista do Gurupi,8494
2021,MA,21,2002,Bom Jardim,42010
2021,MA,21,2036,Bom Jesus das Selvas,35095
2021,MA,21,2077,Bom Lugar,16578
2021,MA,21,2101,Brejo,36900
2021,MA,21,2150,Brejo de Areia,8841
2021,MA,21,2200,Buriti,28916
2021,MA,21,2309,Buriti Bravo,23993
2021,MA,21,2325,Buriticupu,73595
2021,MA,21,2358,Buritirana,15503
2021,MA,21,2374,Cachoeira Grande,9524
2021,MA,21,2408,Cajapió,11255
2021,MA,21,2507,Cajari,19521
2021,MA,21,2556,Campestre do Maranhão,14530
2021,MA,21,2606,Cândido Mendes,20376
2021,MA,21,2705,Cantanhede,22236
2021,MA,21,2754,Capinzal do Norte,10937
2021,MA,21,2804,Carolina,24151
2021,MA,21,2903,Carutapera,24095
2021,MA,21,3000,Caxias,166159
2021,MA,21,3109,Cedral,10711
2021,MA,21,3125,Central do Maranhão,8806
2021,MA,21,3158,Centro do Guilherme,13876
2021,MA,21,3174,Centro Novo do Maranhão,22056
2021,MA,21,3208,Chapadinha,80705
2021,MA,21,3257,Cidelândia,14855
2021,MA,21,3307,Codó,123368
2021,MA,21,3406,Coelho Neto,49804
2021,MA,21,3505,Colinas,41443
2021,MA,21,3554,Conceição do Lago-Açu,16559
2021,MA,21,3604,Coroatá,65788
2021,MA,21,3703,Cururupu,32559
2021,MA,21,3752,Davinópolis,12923
2021,MA,21,3802,Dom Pedro,23393
2021,MA,21,3901,Duque Bacelar,11451
2021,MA,21,4008,Esperantinópolis,16971
2021,MA,21,4057,Estreito,43097
2021,MA,21,4073,Feira Nova do Maranhão,8506
2021,MA,21,4081,Fernando Falcão,10559
2021,MA,21,4099,Formosa da Serra Negra,19425
2021,MA,21,4107,Fortaleza dos Nogueiras,12662
2021,MA,21,4206,Fortuna,17812
2021,MA,21,4305,Godofredo Viana,12104
2021,MA,21,4404,Gonçalves Dias,17953
2021,MA,21,4503,Governador Archer,10931
2021,MA,21,4552,Governador Edison Lobão,18740
2021,MA,21,4602,Governador Eugênio Barros,14703
2021,MA,21,4628,Governador Luiz Rocha,7878
2021,MA,21,4651,Governador Newton Bello,10121
2021,MA,21,4677,Governador Nunes Freire,25502
2021,MA,21,4701,Graça Aranha,6261
2021,MA,21,4800,Grajaú,70692
2021,MA,21,4909,Guimarães,11966
2021,MA,21,5005,Humberto de Campos,29143
2021,MA,21,5104,Icatu,27423
2021,MA,21,5153,Igarapé do Meio,14470
2021,MA,21,5203,Igarapé Grande,11453
2021,MA,21,5302,Imperatriz,259980
2021,MA,21,5351,Itaipava do Grajaú,16158
2021,MA,21,5401,Itapecuru Mirim,69233
2021,MA,21,5427,Itinga do Maranhão,26134
2021,MA,21,5450,Jatobá,10464
2021,MA,21,5476,Jenipapo dos Vieiras,17123
2021,MA,21,5500,João Lisboa,23677
2021,MA,21,5609,Joselândia,16228
2021,MA,21,5658,Junco do Maranhão,4334
2021,MA,21,5708,Lago da Pedra,50959
2021,MA,21,5807,Lago do Junco,10900
2021,MA,21,5906,Lago Verde,16369
2021,MA,21,5922,Lagoa do Mato,11280
2021,MA,21,5948,Lago dos Rodrigues,8841
2021,MA,21,5963,Lagoa Grande do Maranhão,11534
2021,MA,21,5989,Lajeado Novo,7653
2021,MA,21,6003,Lima Campos,11943
