id_trecho_,vl_br,sg_uf,nm_tipo_tr,sg_tipo_tr,desc_coinc,vl_codigo,ds_local_i,ds_local_f,vl_km_inic,vl_km_fina,vl_extensa,ds_sup_fed,ds_obra,ul,ds_coinc,ds_tipo_ad,ds_ato_leg,est_coinc,sup_est_co,ds_jurisdi,ds_superfi,ds_legenda,sg_legenda,leg_multim,versao_snv,id_versao,marcador,_UF_NE,__layer
151187,010,MA,Eixo Principal,B,-,010BMA0470,ENTR BR-010/222 (AÇAILÂNDIA),INÍCIO DA PONTE S/RIO ITINGA - DIV MA/PA,319.8,378.6,58.8,PAV,,Imperatriz,010BMA0470;222BMA0690,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|,MA,Diferencas_geometrias_SNV_202504A_202507A
164766,030,BA,Acesso,A,-,030ABA6005,ACESSO A JUVENÍLIA/MG,INÍCIO PONTE S/RIO CARIRANHA,0.0,2.9,2.9,PLA,,,030ABA6005,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|,BA,Diferencas_geometrias_SNV_202504A_202507A
151808,101,SE,Eixo Principal,B,-,101BSE1390,ENTR SE-295 (P/ TOMAR DO GERÚ),INÍCIO PONTE S/RIO REAL (DIV SE/BA),201.4,206.7,5.3,PAV,,Aracaju,101BSE1390,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|,SE,Diferencas_geometrias_SNV_202504A_202507A
162306,135,BA,Eixo Principal,B,-,135BBA0607,ACESSO BARRINHA,ACESSO OESTE JABORANDI,373.6,386.4,12.8,IMP,EOP,Cocos,135BBA0607,Federal,,,,Federal,N_PAV,Em obra de Pavimentação,EOP,Implantada,202507A,80,|,BA,Diferencas_geometrias_SNV_202504A_202507A
153708,222,MA,Eixo Principal,B,Coinc,222BMA0690,ENTR BR-010/222 (AÇAILÂNDIA),INÍCIO DA PONTE S/RIO ITINGA - DIV MA/PA,680.4,739.2,58.8,PAV,,Imperatriz,010BMA0470;222BMA0690,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|,MA,Diferencas_geometrias_SNV_202504A_202507A
153789,226,MA,Eixo Principal,B,-,226BMA0810,FIM PONTE S/RIO PARNAÍBA (DIV PI/MA -TIMON),ENTR BR-226/316 (POSTO FISCAL DE TIMON),0.0,0.6,0.6,PAV,,Caxias,226BMA0810;316BMA0380,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|,MA,Diferencas_geometrias_SNV_202504A_202507A
153790,226,MA,Eixo Principal,B,-,226BMA0812,ENTR BR-226/316 (POSTO FISCAL DE TIMON),ENTR BR-226/316 (CONTORNO OESTE TIMON),0.6,7.0,6.4,IMP,,Caxias,226BMA0812;316CMA1010,Federal,,,,Federal,N_PAV,Implantada,IMP,Implantada,202507A,80,|,MA,Diferencas_geometrias_SNV_202504A_202507A
153775,226,PI,Eixo Principal,B,-,226BPI0715,BURITI DOS MONTES,ENTR BR-226/407/PI-115,37.0,78.0,41.0,PLA,,,226BPI0715,Federal,,,,Federal,PLA,Planejada,PLA,Planejada,202507A,80,|,PI,Diferencas_geometrias_SNV_202504A_202507A
153776,226,PI,Eixo Principal,B,-,226BPI0730,ENTR BR-226/407/PI-115,ACESSO LESTE CASTELO DO PIAUÍ,78.0,96.8,18.8,PLA,,,226BPI0730;407BPI0053,Estadual,,PI-115,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|,PI,Diferencas_geometrias_SNV_202504A_202507A
153788,226,PI,Eixo Principal,B,-,226BPI0800,INÍCIO PONTE S/RIO PARNAÍBA (TERESINA),FIM PONTE S/RIO PARNAÍBA (DIV PI/MA -TIMON),277.8,278.4,0.6,PAV,,Teresina,226BPI0800;316BPI0390,Federal,,,,Federal,PAV,Pavimentada,PAV,Pavimentada,202507A,80,|,PI,Diferencas_geometrias_SNV_202504A_202507A
