br_pad,uf,km_total,km_dup,km_pav,km_conc,pct_dup,pct_pav,pct_conc,n_trechos
BR-10,MA,3786.0,0.0,3786.0,0.0,0.0,1.0,0.0,12
BR-101,AL,2564.0,0.0,2564.0,0.0,0.0,1.0,0.0,27
BR-101,BA,9674.0,0.0,9674.0,175.0,0.0,1.0,0.01808972503617945,64
BR-101,PB,1358.0,0.0,1358.0,0.0,0.0,1.0,0.0,14
BR-101,PE,2963.0,0.0,2963.0,0.0,0.0,1.0,0.0,32
BR-101,RN,1778.0,0.0,1778.0,20.0,0.0,1.0,0.01124859392575928,34
BR-101,SE,2304.0,0.0,2304.0,0.0,0.0,1.0,0.0,38
BR-104,AL,1094.0,0.0,1094.0,156.0,0.0,1.0,0.1425959780621572,12
BR-104,PB,2848.0,0.0,2848.0,0.0,0.0,1.0,0.0,32
BR-104,PE,1513.0,0.0,1513.0,0.0,0.0,1.0,0.0,16
BR-104,RN,2071.0,0.0,2071.0,0.0,0.0,1.0,0.0,19
BR-110,AL,161.0,0.0,161.0,0.0,0.0,1.0,0.0,3
BR-110,BA,4046.0,0.0,4046.0,0.0,0.0,1.0,0.0,27
BR-110,PB,1938.0,0.0,1938.0,0.0,0.0,1.0,0.0,21
BR-110,PE,2661.0,0.0,2661.0,0.0,0.0,1.0,0.0,13
BR-110,RN,1921.0,0.0,1921.0,0.0,0.0,1.0,0.0,21
BR-116,BA,9968.0,0.0,9968.0,0.0,0.0,1.0,0.0,63
BR-116,CE,5615.0,0.0,5615.0,103.0,0.0,1.0,0.01834372217275156,50
BR-116,PB,134.0,0.0,134.0,0.0,0.0,1.0,0.0,2
BR-116,PE,915.0,0.0,915.0,0.0,0.0,1.0,0.0,5
BR-122,BA,8870.0,0.0,8870.0,0.0,0.0,1.0,0.0,41
BR-122,CE,4484.0,0.0,4484.0,0.0,0.0,1.0,0.0,29
BR-122,PE,3195.0,0.0,3195.0,0.0,0.0,1.0,0.0,14
BR-135,BA,4908.0,0.0,4908.0,0.0,0.0,1.0,0.0,29
BR-135,MA,6318.0,0.0,6318.0,0.0,0.0,1.0,0.0,45
BR-135,PI,6480.0,0.0,6480.0,0.0,0.0,1.0,0.0,29
BR-20,BA,7841.0,0.0,7841.0,0.0,0.0,1.0,0.0,18
BR-20,CE,4186.0,0.0,4186.0,0.0,0.0,1.0,0.0,15
BR-20,PI,4177.0,0.0,4177.0,0.0,0.0,1.0,0.0,17
BR-222,CE,3562.0,0.0,3562.0,0.0,0.0,1.0,0.0,29
BR-222,MA,7406.0,0.0,7406.0,0.0,0.0,1.0,0.0,34
BR-222,PI,2238.0,0.0,2238.0,0.0,0.0,1.0,0.0,12
BR-226,CE,4048.0,0.0,4048.0,0.0,0.0,1.0,0.0,22
BR-226,MA,5991.0,0.0,5991.0,0.0,0.0,1.0,0.0,16
BR-226,PI,2784.0,0.0,2784.0,0.0,0.0,1.0,0.0,15
BR-226,RN,4327.0,0.0,4327.0,22.0,0.0,1.0,0.005084354055927894,45
BR-230,CE,2623.0,0.0,2623.0,0.0,0.0,1.0,0.0,18
BR-230,MA,6817.0,0.0,6817.0,0.0,0.0,1.0,0.0,22
BR-230,PB,6106.0,0.0,6106.0,35.0,0.0,1.0,0.005732066819521782,72
BR-230,PI,3997.0,0.0,3997.0,0.0,0.0,1.0,0.0,38
BR-232,PE,5716.0,0.0,5716.0,1335.0,0.0,1.0,0.23355493351994402,41
BR-235,BA,6790.0,0.0,6790.0,0.0,0.0,1.0,0.0,28
BR-235,MA,1105.0,0.0,1105.0,0.0,0.0,1.0,0.0,2
BR-235,PE,281.0,0.0,281.0,0.0,0.0,1.0,0.0,5
BR-235,PI,4402.0,0.0,4402.0,0.0,0.0,1.0,0.0,11
BR-235,SE,1144.0,0.0,1144.0,17.0,0.0,1.0,0.01486013986013986,12
BR-242,BA,9864.0,0.0,9864.0,0.0,0.0,1.0,0.0,44
BR-251,BA,2506.0,0.0,2506.0,0.0,0.0,1.0,0.0,12
BR-30,BA,9422.0,0.0,9422.0,0.0,0.0,1.0,0.0,51
BR-304,CE,1008.0,0.0,1008.0,0.0,0.0,1.0,0.0,9
BR-304,RN,3174.0,0.0,3174.0,0.0,0.0,1.0,0.0,33
BR-308,MA,3136.0,0.0,3136.0,0.0,0.0,1.0,0.0,13
BR-316,AL,2994.0,0.0,2994.0,152.0,0.0,1.0,0.05076820307281229,27
BR-316,MA,6408.0,0.0,6408.0,0.0,0.0,1.0,0.0,30
BR-316,PE,4411.0,0.0,4411.0,0.0,0.0,1.0,0.0,20
BR-316,PI,4276.0,0.0,4276.0,0.0,0.0,1.0,0.0,29
BR-324,BA,6750.0,0.0,6750.0,0.0,0.0,1.0,0.0,49
BR-324,MA,1070.0,0.0,1070.0,0.0,0.0,1.0,0.0,2
BR-324,PI,5335.0,0.0,5335.0,0.0,0.0,1.0,0.0,20
BR-330,BA,9150.0,0.0,9150.0,0.0,0.0,1.0,0.0,35
BR-330,MA,1455.0,0.0,1455.0,0.0,0.0,1.0,0.0,4
