id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint,BR_PAD,UF,KM_INI_SNV,KM_FIM_SNV,KM_INI_ARRED_SNV,__row_id_snv,KM_INI_SHP,KM_FIM_SHP,KM_INI_ARRED_SHP
010BMA0360,10,BR-10,MA,Eixo Principal,,0.0,340.0,340.0,PLA,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|0,BR-10,MA,0.0,340.0,0,0,,,
010BMA0370,10,BR-10,MA,Eixo Principal,Imperatriz,340.0,1288.0,948.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|340,BR-10,MA,340.0,1288.0,340,1,,,
010BMA0390,10,BR-10,MA,Eixo Principal,Imperatriz,1288.0,1564.0,276.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|1288,BR-10,MA,1288.0,1564.0,1288,2,,,
010BMA0400,10,BR-10,MA,Eixo Principal,Imperatriz,1564.0,1768.0,204.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|1564,BR-10,MA,1564.0,1768.0,1564,3,,,
010BMA0410,10,BR-10,MA,Eixo Principal,Imperatriz,1768.0,2035.0,267.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|1768,BR-10,MA,1768.0,2035.0,1768,4,,,
010BMA0420,10,BR-10,MA,Eixo Principal,Imperatriz,2035.0,2231.0,196.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2035,BR-10,MA,2035.0,2231.0,2035,5,,,
010BMA0425,10,BR-10,MA,Eixo Principal,Imperatriz,2231.0,2464.0,233.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2231,BR-10,MA,2231.0,2464.0,2231,6,,,
010BMA0430,10,BR-10,MA,Eixo Principal,Imperatriz,2464.0,2536.0,72.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2464,BR-10,MA,2464.0,2536.0,2464,7,,,
010BMA0440,10,BR-10,MA,Eixo Principal,Imperatriz,2536.0,2608.0,72.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2536,BR-10,MA,2536.0,2608.0,2536,8,,,
010BMA0450,10,BR-10,MA,Eixo Principal,Imperatriz,2608.0,2952.0,344.0,PAV,Longitudinal,km_crescente,Federal,nao,2025-07,BR-10|MA|2608,BR-10,MA,2608.0,2952.0,2608,9,,,
