code_muni,nome_muni,sigla,uf,pop_2021,pib_pc_2021_brl,renda_pc_uf_2024_nominal_brl,adj_pibpc_vs_uf,income_proxy_adj,score_consumo,demand_weight
2100055,Açailândia,MA,Maranhão,113783,3364984.0,1077.0,2.0,245088582.0,0.03680031425409562,0.0026655328794616974
2100105,Afonso Cunha,MA,Maranhão,6631,128288.0,1077.0,0.5,3570793.5,0.00032777473117374457,3.883521379228557e-05
2100154,Água Doce do Maranhão,MA,Maranhão,12731,798615.0,1077.0,0.561620599999873,7700541.231710459,0.0009514239799515698,8.374949854977212e-05
2100204,Alcântara,MA,Maranhão,22126,67250.0,1077.0,0.5,11914851.0,0.0015878432703914376,0.00012958346258001968
2100303,Aldeias Altas,MA,Maranhão,26979,924608.0,1077.0,0.6502243255194087,18893167.03820861,0.00264166588564366,0.0002054781888513559
2100402,Altamira do Maranhão,MA,Maranhão,8250,866976.0,1077.0,0.6096950111198637,5417292.597552769,0.000606621733428955,5.8917357220832794e-05
2100436,Alto Alegre do Maranhão,MA,Maranhão,28066,1080155.0,1077.0,0.7596117017497327,22960845.196948715,0.0032559417670708145,0.00024971741773224256
2100477,Alto Alegre do Pindaré,MA,Maranhão,31967,787642.0,1077.0,0.5539039119289019,19070058.121783808,0.0026683788953851717,0.00020740201980058102
2100501,Alto Parnaíba,MA,Maranhão,11233,5154379.0,1077.0,2.0,24195882.0,0.003442449472740499,0.00026314942333207286
2100550,Amapá do Maranhão,MA,Maranhão,7047,996357.0,1077.0,0.7006813247360411,5317904.2951618275,0.0005916127197675463,5.7836430538344844e-05
2100600,Amarante do Maranhão,MA,Maranhão,42017,925086.0,1077.0,0.6505604757880612,29439363.673548363,0.00423428801086213,0.0003201764487840297
2100709,Anajatuba,MA,Maranhão,27170,764236.0,1077.0,0.5374438006567657,15726728.864760336,0.0021634897556565276,0.000171040660210756
2100808,Anapurus,MA,Maranhão,16054,928948.0,1077.0,0.6532764011803961,11295252.194080435,0.0014942752476068278,0.000122844833730905
2100832,Apicum-Açu,MA,Maranhão,17582,762023.0,1077.0,0.5358875233669581,10147466.467397373,0.0013209436659444957,0.00011036175284609031
2100873,Araguanã,MA,Maranhão,15675,649148.0,1077.0,0.5,8440987.5,0.0010632416475135197,9.180243948033121e-05
2100907,Araioses,MA,Maranhão,47095,600538.0,1077.0,0.5,25360657.5,0.0036183467460756307,0.00027581728148811475
2100956,Arame,MA,Maranhão,32825,884577.0,1077.0,0.6220727953846192,21991844.050654635,0.0031096091394599607,0.00023917876107755216
2101004,Arari,MA,Maranhão,30014,1043857.0,1077.0,0.7340853786293363,23729367.12285283,0.0033719992487613185,0.00025807570372569065
2101103,Axixá,MA,Maranhão,12234,796497.0,1077.0,0.5601311308178519,7380297.862016371,0.0009030627845685586,8.02665976966055e-05
2101202,Bacabal,MA,Maranhão,105094,1441291.0,1077.0,1.0135781524193972,114723097.99134217,0.017113316052178033,0.0012477047573339372
2101251,Bacabeira,MA,Maranhão,17446,3435298.0,1077.0,2.0,37578684.0,0.0054634383941111414,0.0004086980182899798
2101301,Bacuri,MA,Maranhão,18726,656337.0,1077.0,0.5,10083951.0,0.0013113519484591913,0.00010967097171985214
2101350,Bacurituba,MA,Maranhão,5696,695232.0,1077.0,0.5,3067296.0,0.00025173961764237687,3.33592788057395e-05
2101400,Balsas,MA,Maranhão,96951,6505977.0,1077.0,2.0,208832454.0,0.03132513551202083,0.002271218707510709
2101509,Barão de Grajaú,MA,Maranhão,19026,1411569.0,1077.0,0.9926763568443127,20340933.213449523,0.002860298680248036,0.00022122379523736518
2101608,Barra do Corda,MA,Maranhão,88895,1000424.0,1077.0,0.7035414149925471,67356995.27036618,0.009960376865930166,0.0007325607912444779
2101707,Barreirinhas,MA,Maranhão,63891,995126.0,1077.0,0.6998156323077749,48154738.4471868,0.007060569463492369,0.0005237210056274866
2101731,Belágua,MA,Maranhão,7586,800604.0,1077.0,0.5630193508039523,4599936.784429088,0.0004831896567128195,5.00279639397524e-05
2101772,Bela Vista do Maranhão,MA,Maranhão,11347,948051.0,1077.0,0.6667104567914196,8147681.146809581,0.0010189483156413555,8.861250006412428e-05
2101806,Benedito Leite,MA,Maranhão,5643,1296511.0,1077.0,0.9117625961526334,5541247.207506187,0.0006253406006339453,6.02654619986869e-05
2101905,Bequimão,MA,Maranhão,21317,648026.0,1077.0,0.5,11479204.5,0.0015220545999669708,0.00012484546107829157
2101939,Bernardo do Mearim,MA,Maranhão,6102,1722818.0,1077.0,1.2115601120071389,7962196.168334563,0.0009909375084442766,8.659520368606859e-05
2101970,Boa Vista do Gurupi,MA,Maranhão,8494,79531.0,1077.0,0.5,4574019.0,0.0004792757113972077,4.97460874606656e-05
2102002,Bom Jardim,MA,Maranhão,42010,979362.0,1077.0,0.68872970587464,31161417.134465735,0.004494341994065496,0.0003389051471297815
2102036,Bom Jesus das Selvas,MA,Maranhão,35095,1070625.0,1077.0,0.7529097936738779,28457968.63807657,0.004086083733897064,0.00030950299874631825
2102077,Bom Lugar,MA,Maranhão,16578,711684.0,1077.0,0.5004869619157036,8935947.464445703,0.0011379874746330401,9.718552199066707e-05
2102101,Brejo,MA,Maranhão,36900,890779.0,1077.0,0.6264343099582238,24895313.84234276,0.00354807339250174,0.0002707562998233943
2102150,Brejo de Areia,MA,Maranhão,8841,804001.0,1077.0,0.5654082680897528,5383680.13454148,0.000601545784807299,5.855179500416339e-05
2102200,Buriti,MA,Maranhão,28916,961388.0,1077.0,0.676089611881417,21055142.37288461,0.002968154180072344,0.00022899138678223333
2102309,Buriti Bravo,MA,Maranhão,23993,994914.0,1077.0,0.6996665447409248,18079706.062382624,0.002518821983439049,0.00019663115501759222
2102325,Buriticupu,MA,Maranhão,73595,1016553.0,1077.0,0.7148840252082304,56663005.352510095,0.008345435902951226,0.0006162551620467974
2102358,Buritirana,MA,Maranhão,15503,790152.0,1077.0,0.5556690524609476,9277856.693965329,0.0011896205156788193,0.0001009040562676983
2102374,Cachoeira Grande,MA,Maranhão,9524,640403.0,1077.0,0.5,5128674.0,0.0005630363177472706,5.5778400868304595e-05
2102408,Cajapió,MA,Maranhão,11255,627923.0,1077.0,0.5,6060817.5,0.0007038029290015995,6.591620136211342e-05
2102507,Cajari,MA,Maranhão,19521,656271.0,1077.0,0.5,10512058.5,0.0013760021252051135,0.00011432698061215603
2102556,Campestre do Maranhão,MA,Maranhão,14530,147308.0,1077.0,0.5,7824405.0,0.0009701291288039838,8.509661535242185e-05
2102606,Cândido Mendes,MA,Maranhão,20376,720558.0,1077.0,0.506727542426211,11120111.595621163,0.0014678265854231975,0.00012094004069684278
2102705,Cantanhede,MA,Maranhão,22236,690034.0,1077.0,0.5,11974086.0,0.001596788577865716,0.0001302276902254957
2102754,Capinzal do Norte,MA,Maranhão,10937,2596791.0,1077.0,1.8261757160762948,21510795.85984437,0.0030369641833235005,0.00023394698014860492
2102804,Carolina,MA,Maranhão,24151,2177714.0,1077.0,1.5314626488459688,39834303.723564476,0.005804068291508481,0.00043322967328451325
2102903,Carutapera,MA,Maranhão,24095,838515.0,1077.0,0.589680005270241,15302381.885964414,0.0020994074698270234,0.00016642554997163124
2103000,Caxias,MA,Maranhão,166159,1271638.0,1077.0,0.8942708270476243,160032664.62046447,0.02395568973368069,0.0017404822609554075
2103109,Cedral,MA,Maranhão,10711,733843.0,1077.0,0.5160701288677357,5953254.440875595,0.0006875594135674507,6.474636771106401e-05
2103125,Central do Maranhão,MA,Maranhão,8806,662767.0,1077.0,0.5,4742031.0,0.0005046478562333433,5.157335132783392e-05
2103158,Centro do Guilherme,MA,Maranhão,13876,747772.0,1077.0,0.5258656039557297,7858773.276767412,0.0009753192157972413,8.547039764365065e-05
2103174,Centro Novo do Maranhão,MA,Maranhão,22056,910432.0,1077.0,0.6402551493511697,15208820.577294283,0.0020852784131249013,0.00016540799647129847
2103208,Chapadinha,MA,Maranhão,80705,1108369.0,1077.0,0.7794530065191102,67749498.0177414,0.010019650230659979,0.0007368295701890951
2103257,Cidelândia,MA,Maranhão,14855,1235865.0,1077.0,0.8691137066281538,13904806.78858224,0.0018883542248793008,0.00015122581139878714
2103307,Codó,MA,Maranhão,123368,1336478.0,1077.0,0.939869118720072,124877905.9930037,0.018646833059304334,0.001358146355192827
2103406,Coelho Neto,MA,Maranhão,49804,929168.0,1077.0,0.6534311146931651,35049331.44536413,0.005081471038458744,0.0003811893014696575
2103505,Colinas,MA,Maranhão,41443,1334973.0,1077.0,0.9388107376440844,41902982.67199794,0.006116467536200041,0.00045572819895675225
2103554,Conceição do Lago-Açu,MA,Maranhão,16559,889136.0,1077.0,0.6252788813151356,11151250.456366025,0.0014725289857568098,0.00012127870052533047
2103604,Coroatá,MA,Maranhão,65788,811196.0,1077.0,0.5704681032005372,40419762.15250543,0.0058924806433323165,0.0004395969984335081
2103703,Cururupu,MA,Maranhão,32559,81264.0,1077.0,0.5,17533021.5,0.002436265023838239,0.00019068552644593967
2103752,Davinópolis,MA,Maranhão,12923,147203.0,1077.0,0.5,6959035.5,0.0008394463187024779,7.568503511351326e-05
2103802,Dom Pedro,MA,Maranhão,23393,1122499.0,1077.0,0.7893898334983157,19888093.49590311,0.0027919135952473076,0.00021629880384692123
2103901,Duque Bacelar,MA,Maranhão,11451,759112.0,1077.0,0.5338403822957289,6583707.696428859,0.0007827666089601046,7.160304731615834e-05
2104008,Esperantinópolis,MA,Maranhão,16971,936944.0,1077.0,0.6588995341263074,12043212.161169196,0.0016072275880146987,0.00013097949210024584
2104057,Estreito,MA,Maranhão,43097,2642396.0,1077.0,1.8582471240300575,86251411.7797563,0.012813696106642236,0.0009380525690867572
2104073,Feira Nova do Maranhão,MA,Maranhão,8506,1387485.0,1077.0,0.9757394466555521,8938711.99271254,0.0011384049567866351,9.7215588430039e-05
