CD_MUN,NM_MUN,sigla,lon,lat,demand_weight
2304400,Fortaleza,CE,-38.52800064434069,-3.785832852159754,0.0720337315082473
2927408,Salvador,BA,-38.51472192393459,-12.873491406991862,0.0612571355498645
2611606,Recife,PE,-34.93308627358183,-8.03934493234589,0.0524965365804396
2111300,São Luís,MA,-44.280904213950755,-2.63369064852377,0.0261423361771393
2507507,João Pessoa,PB,-34.869531432748666,-7.165465399737441,0.0251652860108257
2408102,Natal,RN,-35.228841433486544,-5.8031746489844425,0.0242119455840312
2211001,Teresina,PI,-42.740607685419874,-5.1026580925109535,0.0236531740323644
2607901,Jaboatão dos Guararapes,PE,-35.00334988497015,-8.1521589919608,0.018525454346396
2910800,Feira de Santana,BA,-39.03398953570665,-12.193076440066609,0.0168162388027066
2504009,Campina Grande,PB,-35.96565886203973,-7.263553426247641,0.0126110447493812
2604106,Caruaru,PE,-36.01663483921931,-8.180522960677038,0.009947944726416
2303709,Caucaia,CE,-38.809691261376294,-3.783590269972617,0.0098300764338416
2905701,Camaçari,BA,-38.206311773506016,-12.666028868994717,0.0091873948477084
2611101,Petrolina,PE,-40.57235907214562,-9.019794468148113,0.0091792014981956
2408003,Mossoró,RN,-37.325529526308046,-5.175810187075115,0.0080803349399555
2933307,Vitória da Conquista,BA,-40.91316376985373,-15.022284436539309,0.007994280736874
2704302,Maceió,AL,-35.71139049891422,-9.522394442027249,0.0074665348257385
2403251,Parnamirim,RN,-35.230120591565694,-5.914326801580971,0.0068526738250695
2602902,Cabo de Santo Agostinho,PE,-35.08591917699588,-8.269220154488252,0.006662219546826
2609600,Olinda,PE,-34.86636517974179,-7.9931004451529395,0.0066463917708997
2610707,Paulista,PE,-34.88341019049262,-7.928155124711241,0.0064206497703649
2307650,Maracanaú,CE,-38.62713250987525,-3.874536724375358,0.0061547824588318
2919207,Lauro de Freitas,BA,-38.32721645883267,-12.8635507617926,0.0060812621797807
2800308,Aracaju,SE,-37.09491351930869,-10.994202264840398,0.0053876530252036
2312908,Sobral,CE,-40.227869846989684,-3.8110408120034123,0.0053374311612853
2307304,Juazeiro do Norte,CE,-39.2861647693736,-7.182814203242174,0.00506009137463
2918407,Juazeiro,BA,-40.27465963651664,-9.55687994957359,0.0050418251926936
2903201,Barreiras,BA,-45.5423786936678,-12.013022349684798,0.0047074375194436
2700300,Arapiraca,AL,-36.64100715199546,-9.749289090688288,0.0045257095634389
2616407,Vitória de Santo Antão,PE,-35.28694876711477,-8.149781093098671,0.0044370023148416
2900702,Alagoinhas,BA,-38.402235222964585,-12.113125674241958,0.004410532614711
