"id_trecho_,N,10,0","vl_br,C,3","sg_uf,C,2","nm_tipo_tr,C,254","sg_tipo_tr,C,1","desc_coinc,C,254","vl_codigo,C,20","ds_local_i,C,254","ds_local_f,C,254","vl_km_inic,N,19,8","vl_km_fina,N,19,8","vl_extensa,N,19,8","ds_sup_fed,C,254","ds_obra,C,3","ul,C,254","ds_coinc,C,254","ds_tipo_ad,C,254","ds_ato_leg,C,254","est_coinc,C,254","sup_est_co,C,254","ds_jurisdi,C,254","ds_superfi,C,254","ds_legenda,C,254","sg_legenda,C,254","leg_multim,C,254","versao_snv,C,15","id_versao,N,10,0","marcador,C,254"
151119,010,DF,Eixo Principal,B,-,010BDF0010,ENTR BR-010/020/030/450/DF-001 (BRASÍLIA),ENTR DF-440,0,2.4,2.4,DUP,,Brasília,010BDF0010;020BDF0010;030BDF0010,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151120,010,DF,Eixo Principal,B,-,010BDF0015,ENTR DF-440,ACESSO I SOBRADINHO,2.4,6,3.6,DUP,,Brasília,010BDF0015;020BDF0015;030BDF0015,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151121,010,DF,Eixo Principal,B,-,010BDF0016,ACESSO I SOBRADINHO,ACESSO II SOBRADINHO,6,8.3,2.3,DUP,,Brasília,010BDF0016;020BDF0016;030BDF0016,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151122,010,DF,Eixo Principal,B,-,010BDF0018,ACESSO II SOBRADINHO,ENTR DF-230,8.3,18.2,9.9,DUP,,Brasília,010BDF0018;020BDF0018;030BDF0018,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151123,010,DF,Eixo Principal,B,-,010BDF0020,ENTR DF-230,ENTR DF-128,18.2,22,3.8,DUP,,Brasília,010BDF0020;020BDF0020;030BDF0020,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151124,010,DF,Eixo Principal,B,-,010BDF0022,ENTR DF-128,AV.INDEPENDÊNCIA (PLANALTINA),22,25,3,DUP,,Brasília,010BDF0022;020BDF0022;030BDF0022,Convênio Adm.Federal/Estadual,,,,Federal,PAV,Duplicada,DUP,Duplicada Concessão/Convênio,202507A,80,|
151125,010,DF,Eixo Principal,B,-,010BDF0030,AV.INDEPENDÊNCIA (PLANALTINA),ENTR BR-010/020/030/DF-345,25,34,9,DUP,,Brasília,010BDF0030;020BDF0030;030BDF0030,Federal,,,,Federal,PAV,Duplicada,DUP,Duplicada,202507A,80,|
151126,010,DF,Eixo Principal,B,-,010BDF0050,ENTR BR-010/020/030/DF-345,ENTR VICINAL-111,34,38.1,4.1,PLA,,,010BDF0050,Distrital,,DF-345,PAV,Distrital,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151127,010,DF,Eixo Principal,B,-,010BDF0052,ENTR VICINAL-111,ENTR DF-205,38.1,42.7,4.6,PLA,,,010BDF0052,Distrital,,DF-345,PAV,Distrital,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151128,010,DF,Eixo Principal,B,-,010BDF0070,ENTR DF-205,DIV DF/GO,42.7,45,2.3,PLA,,,010BDF0070,Distrital,,DF-345,PAV,Distrital,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151129,010,GO,Eixo Principal,B,-,010BGO0090,DIV DF/GO,ENTR GO-430,0,5.5,5.5,PLA,,,010BGO0090,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
151130,010,GO,Eixo Principal,B,-,010BGO0095,ENTR GO-430,ENTR GO-430 (P/PLANALTINA),5.5,9,3.5,PLA,,,010BGO0095,Estadual,,GO-118,PAV,Estadual,PLA,Planejada,PLA,Pavimentada,202507A,80,|
