rodovia_br,uf,tipo_trecho,desc_coinc,cod,inicio ,fim ,km_inicial,km_final,extensao,superf_federal,obras,fed_coinc,administracao,ato_legal,estad_coinc,superf_estad_coinc,jurisdicao,superficie,unidade_local
010,MA,Eixo Principal,-,010BMA0360,DIV TO/MA,ENTR BR-010/230/AV.FREDERICO MARTINS (CAROLINA),0,34,34,PLA,,010BMA0360,Federal,,,,Federal,PLA,
010,MA,Eixo Principal,-,010BMA0370,ENTR BR-010/230/AV.FREDERICO MARTINS (CAROLINA),ENTR BR-010/226/230/MA-138 (ESTREITO),34,128.8,94.8,PAV,,010BMA0370;230BMA1070,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0390,ENTR BR-010/226/230/MA-138 (ESTREITO),ENTR BR-010/226 (PORTO FRANCO),128.8,156.4,27.6,PAV,,010BMA0390;226BMA0930,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0400,ENTR BR-010/226 (PORTO FRANCO),CAMPESTRE DO MARANHÃO,156.4,176.8,20.4,PAV,,010BMA0400,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0410,CAMPESTRE DO MARANHÃO,RIBAMAR FIQUENE,176.8,203.5,26.7,PAV,,010BMA0410,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0420,RIBAMAR FIQUENE,ENTR MA-280 (GOVERNADOR ÉDSON LOBÃO),203.5,223.1,19.6,PAV,,010BMA0420,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0425,ENTR MA-280 (GOVERNADOR ÉDSON LOBÃO),INÍCIO TRAV URB IMPERATRIZ,223.1,246.4,23.3,PAV,,010BMA0425,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0430,INÍCIO TRAV URB IMPERATRIZ,ENTR MA-122 (IMPERATRIZ),246.4,253.6,7.2,PAV,EOD,010BMA0430,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0440,ENTR MA-122 (IMPERATRIZ),FIM TRAV URB IMPERATRIZ,253.6,260.8,7.2,PAV,EOD,010BMA0440,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0450,FIM TRAV URB IMPERATRIZ,ENTR MA-125 (P/CIDELÂNDIA),260.8,295.2,34.4,PAV,,010BMA0450,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0460,ENTR MA-125 (P/CIDELÂNDIA),ENTR BR-010/222 (AÇAILÂNDIA),295.2,319.8,24.6,PAV,,010BMA0460,Federal,,,,Federal,PAV,Imperatriz
010,MA,Eixo Principal,-,010BMA0470,ENTR BR-010/222 (AÇAILÂNDIA),INÍCIO DA PONTE S/RIO ITINGA - DIV MA/PA,319.8,378.6,58.8,PAV,,010BMA0470;222BMA0690,Federal,,,,Federal,PAV,Imperatriz
020,PI,Acesso,-,020API1005,ENTR BR-020,ACS SUL S RAIMUNDO NONATO - ACESSO NORTE,0,0.7,0.7,PAV,,020API1005,Federal,,,,Federal,PAV,Picos
020,PI,Acesso,-,020API2005,BR-020/324 (ESTAÇÃO RODOVIÁRIA SÃO RAIMUNDO NONATO),ENTR BR-324/PI-040 (S RAIMUNDO NONATO),0,1.9,1.9,PAV,,020API2005,Federal,,,,Federal,PAV,Picos
020,BA,Eixo Principal,-,020BBA0220,VILA ROSÁRIO (DIV GO/BA),ENTR BR-020/349,0,18.1,18.1,PAV,,020BBA0220;349BBA0701,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0225,ENTR BR-020/349,P/ SÃO DOMINGOS,18.1,75.7,57.6,PAV,,020BBA0225,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0230,P/ SÃO DOMINGOS,ENTR BA-463 (P/SÃO DESIDÉRIO),75.7,129.9,54.2,PAV,,020BBA0230,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0235,ENTR BA-463 (P/SÃO DESIDÉRIO),RODA VELHA,129.9,135.9,6,PAV,,020BBA0235,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0240,RODA VELHA,ENTR BR-020/242 (LUIS EDUARDO MAGALHÃES),135.9,212.1,76.2,PAV,,020BBA0240,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0250,ENTR BR-020/242 (LUIS EDUARDO MAGALHÃES),INÍCIO DUPLICAÇÃO,212.1,217.8,5.7,DUP,,020BBA0250;242BBA0335,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0255,INÍCIO DUPLICAÇÃO,ENTR BA-459,217.8,236.9,19.1,PAV,,020BBA0255;242BBA0333,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0257,ENTR BA-459,ENTR BR-020/135/242 (BARREIRAS),236.9,298.9,62,PAV,,020BBA0257;242BBA0330,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0260,ENTR BR-020/135/242 (BARREIRAS),ENTR BR-020/135/242 (ACESSO NORTE BARREIRAS),298.9,304.6,5.7,PAV,,020BBA0260;135BBA0575;242BBA0325,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0265,ENTR BR-020/135/242 (ACESSO NORTE BARREIRAS),ACESSO SUL RIACHÃO DAS NEVES,304.6,351.4,46.8,PAV,,020BBA0265;135BBA0570,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0270,ACESSO SUL RIACHÃO DAS NEVES,ENTR BR-020/135/BA-451 (MONTE ALEGRE),351.4,398.1,46.7,PAV,,020BBA0270;135BBA0550,Federal,,,,Federal,PAV,Barreiras
020,BA,Eixo Principal,-,020BBA0280,ENTR BR-020/135/BA-451 (MONTE ALEGRE),ACESSO A SANTA RITA DE CÁSSIA,398.1,464.6,66.5,PLA,,020BBA0280,Estadual,,BA-451,PAV,Estadual,PLA,
020,BA,Eixo Principal,-,020BBA0290,ACESSO A SANTA RITA DE CÁSSIA,ACESSO A MANSIDÃO,464.6,546.7,82.1,PLA,,020BBA0290,Federal,,,,Federal,PLA,
020,BA,Eixo Principal,-,020BBA0300,ACESSO A MANSIDÃO,ENTR BR-020/330/BA-351 (BURITIRAMA),546.7,602.4,55.7,PLA,,020BBA0300,Federal,,,,Federal,PLA,
020,BA,Eixo Principal,-,020BBA0310,ENTR BR-020/330/BA-351 (BURITIRAMA),ACESSO A ALTAMIRA,602.4,642.4,40,PLA,,020BBA0310,Federal,,,,Federal,PLA,
020,BA,Eixo Principal,-,020BBA0320,ACESSO A ALTAMIRA,ACESSO A NOVA HOLANDA,642.4,687.1,44.7,PLA,,020BBA0320,Federal,,,,Federal,PLA,
020,BA,Eixo Principal,-,020BBA0350,ACESSO A NOVA HOLANDA,ENTR BR-020/235 (CAMPO ALEGRE DE LOURDES),687.1,772.3,85.2,PLA,,020BBA0350,Federal,,,,Federal,PLA,
020,BA,Eixo Principal,-,020BBA0360,ENTR BR-020/235 (CAMPO ALEGRE DE LOURDES),DIV BA/PI,772.3,784.1,11.8,IMP,EOP,020BBA0360,Federal,,,,Federal,N_PAV,Barreiras
020,CE,Eixo Principal,-,020BCE0510,DIV PI/CE,ENTR CE-277 (P/PARAMBU),0,34.7,34.7,PAV,,020BCE0510,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0520,ENTR CE-277 (P/PARAMBU),ENTR CE-187 (P/MARRECOS),34.7,65.3,30.6,PAV,,020BCE0520,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0530,ENTR CE-187 (P/MARRECOS),ENTR BR-020/404/CE-176 (TAUÁ),65.3,83.1,17.8,PAV,,020BCE0530,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0540,ENTR BR-020/404/CE-176 (TAUÁ),ENTR BR-020/226 (SANTA CRUZ DO BANABUIÚ),83.1,155.8,72.7,PAV,,020BCE0540,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0550,ENTR BR-020/226 (SANTA CRUZ DO BANABUIÚ),ENTR CE-168/266 (BOA VIAGEM),155.8,203.2,47.4,PAV,,020BCE0550,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0560,ENTR CE-168/266 (BOA VIAGEM),ENTR CE-265 (MADALENA),203.2,239.1,35.9,PAV,,020BCE0560,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0570,ENTR CE-265 (MADALENA),ENTR CE-366 (P/LAGOA DO MATO),239.1,253.6,14.5,PAV,,020BCE0570,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0580,ENTR CE-366 (P/LAGOA DO MATO),ENTR CE-456 (P/TARGINOS),253.6,279.9,26.3,PAV,,020BCE0580,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0590,ENTR CE-456 (P/TARGINOS),ENTR CE-257 (CANINDÉ),279.9,308.8,28.9,PAV,,020BCE0590,Federal,,,,Federal,PAV,Boa Viagem
020,CE,Eixo Principal,-,020BCE0600,ENTR CE-257 (CANINDÉ),CARIDADE,308.8,326.2,17.4,PAV,,020BCE0600,Federal,,,,Federal,PAV,Fortaleza
020,CE,Eixo Principal,-,020BCE0610,CARIDADE,ENTR CE-162,326.2,335.5,9.3,PAV,,020BCE0610,Federal,,,,Federal,PAV,Fortaleza
020,CE,Eixo Principal,-,020BCE0630,ENTR CE-162,ENTR CE-253 (CAMPOS BELOS),335.5,348.5,13,PAV,,020BCE0630,Federal,,,,Federal,PAV,Fortaleza
020,CE,Eixo Principal,-,020BCE0640,ENTR CE-253 (CAMPOS BELOS),ENTR CE-354 (P/ITAPEBUSSÚ),348.5,358.9,10.4,PAV,,020BCE0640,Federal,,,,Federal,PAV,Fortaleza
020,CE,Eixo Principal,-,020BCE0650,ENTR CE-354 (P/ITAPEBUSSÚ),ENTR BR-020/222/CE-010,358.9,406.6,47.7,PAV,,020BCE0650,Federal,,,,Federal,PAV,Fortaleza
020,CE,Eixo Principal,-,020BCE0665,ENTR BR-020/222/CE-010,MARCO ZERO FORTALEZA,406.6,418.6,12,PLA,,020BCE0665,Federal,,,,Federal,PLA,
020,PI,Eixo Principal,-,020BPI0370,DIV BA/PI,ENTR BR-020/324/PI-140 (SÃO RAIMUNDO NONATO),0,54.6,54.6,PLA,,020BPI0370,Estadual,,PI_,PAV,Estadual,PLA,
020,PI,Eixo Principal,-,020BPI0380,ENTR BR-020/324/PI-140 (SÃO RAIMUNDO NONATO),BR-020/324 (ESTAÇÃO RODOVIÁRIA SÃO RAIMUNDO NONATO),54.6,59.8,5.2,PLA,,020BPI0380,Estadual,,PI_,PAV,Estadual,PLA,
020,PI,Eixo Principal,-,020BPI0385,BR-020/324 (ESTAÇÃO RODOVIÁRIA SÃO RAIMUNDO NONATO),PARQUE NACIONAL SERRA DA CAPIVARA (CORONEL JOSÉ DIAS),59.8,92.9,33.1,PLA,,020BPI0385,Estadual,,PI_,PAV,Estadual,PLA,
020,PI,Eixo Principal,-,020BPI0390,PARQUE NACIONAL SERRA DA CAPIVARA (CORONEL JOSÉ DIAS),ENTR PI-141/465 (SÃO JOÃO DO PIAUÍ),92.9,153.2,60.3,PLA,,020BPI0390,Estadual,,PI_,PAV,Estadual,PLA,
020,PI,Eixo Principal,-,020BPI0400,ENTR PI-141/465 (SÃO JOÃO DO PIAUÍ),NOVA SANTA RITA,153.2,191.7,38.5,PLA,,020BPI0400,Estadual,,PI_,PAV,Estadual,PLA,
020,PI,Eixo Principal,-,020BPI0410,NOVA SANTA RITA,ENTR PI-245,191.7,217.4,25.7,PLA,,020BPI0410,Estadual,,PI_,PAV,Estadual,PLA,
020,PI,Eixo Principal,-,020BPI0415,ENTR PI-245,ENTR PI-143,217.4,219.2,1.8,PAV,,020BPI0415,Federal,,,,Federal,PAV,Picos
020,PI,Eixo Principal,-,020BPI0420,ENTR PI-143,INÍCIO PISTA DUPLA (SIMPLÍCIO MENDES),219.2,220.5,1.3,PAV,,020BPI0420,Federal,,,,Federal,PAV,Picos
020,PI,Eixo Principal,-,020BPI0425,INÍCIO PISTA DUPLA (SIMPLÍCIO MENDES),ENTR PI-143/249 (SIMPLÍCIO MENDES),220.5,221,0.5,DUP,,020BPI0425,Federal,,,,Federal,PAV,Picos
020,PI,Eixo Principal,-,020BPI0430,ENTR PI-143/249 (SIMPLÍCIO MENDES),FIM PISTA DUPLA (SIMPLÍCIO MENDES),221,221.8,0.8,DUP,,020BPI0430,Federal,,,,Federal,PAV,Picos
