"id_rota,N,10,0","vl_codigo_,C,15","id_versao_,N,10,0","id_versao1,N,10,0","vl_km_inic,N,19,8","vl_km_fina,N,19,8"
50542,010BDF202507A,80,0,0,45
50714,010BGO202507A,80,0,0,306.3
50296,010BMA202507A,80,0,0,378.7
50242,010BPA202507A,80,0,0,457.5
50799,010BTO202507A,80,0,0,856.9
50673,020API10202507A,80,0,0,4.6
50419,020API20202507A,80,0,0,5.8
50352,020BBA202507A,80,0,0,787.3
50600,020BCE202507A,80,0,0,455.2
50364,020BDF202507A,80,0,0,58.8
50392,020BGO202507A,80,0,0,254.1
50410,020BPI202507A,80,0,0,415.1
50750,030ABA10202507A,80,0,0,1.1
50455,030ABA20202507A,80,0,0,0.7
50190,030ABA30202507A,80,0,0,7.3
50704,030ABA50202507A,80,0,0,3.9
50400,030ABA60202507A,80,0,0,2.9
50674,030BBA202507A,80,0,0,923.2
50606,030BDF202507A,80,0,0,58.8
50469,030BGO202507A,80,0,0,249.5
50268,030CBA10202507A,80,0,0,6.9
50495,040ARJ10202507A,80,0,0,24.3
50185,040ARJ20202507A,80,0,0,1.3
50210,040ARJ30202507A,80,0,0,2.2
50614,040BDF202507A,80,0,0,8.4
50794,040BGO202507A,80,0,0,157.3
50437,040BMG202507A,80,0,0,831.4
50773,040BRJ202507A,80,0,0,142.5
50605,040CMG10202507A,80,0,0,54.8
50404,040UMG10202507A,80,0,0,8.3
50440,040VRJ10202507A,80,0,0,38.3
50429,050BDF202507A,80,0,0,8.4
50582,050BGO202507A,80,0,0,314.2
50657,050BMG202507A,80,0,0,206.8
50545,050BSP202507A,80,0,0,495.7
50256,050NMG10202507A,80,0,0,61.9
50250,050VSP10202507A,80,0,0,10.7
50290,060AGO10202507A,80,0,0,0.6
50554,060BDF202507A,80,0,0,31.3
50138,060BGO202507A,80,0,0,668.9
50166,060BMS202507A,80,0,0,688.5
50607,060CGO10202507A,80,0,0,15.6
50230,060CGO20202507A,80,0,0,23.6
50558,060CMS10202507A,80,0,0,9.4
50452,060NGO10202507A,80,0,0,80.8
50661,070AMT10202507A,80,0,0,13.2
50783,070BDF202507A,80,0,0,20.6
50271,070BGO202507A,80,0,0,484.2
