IDBerco;DiaTaxaOcupacao;MêsTaxaOcupacao;AnoTaxaOcupacao;TempoEmMinutosdiasFlagCarga
ITJ5007;15;mai;2025;1020
ITJ5007;4;abr;2025;782
ITJ5007;27;fev;2025;1290
ITJ5007;19;jan;2025;1229
ITJ5007;22;jun;2025;1294
ITJ5007;16;abr;2025;492
ITJ5007;27;jan;2025;1440
ITJ5007;1;mar;2025;1308
ITJ5007;13;abr;2025;705
ITJ5007;8;jan;2025;1316
ITJ5007;26;mai;2025;649
ITJ5007;29;jan;2025;1440
ITJ5007;27;jun;2025;1440
ITJ5007;19;jun;2025;0
ITJ5007;18;abr;2025;1065
ITJ5007;20;mai;2025;1321
ITJ5007;21;jan;2025;325
ITJ5007;8;fev;2025;1440
ITJ5007;21;abr;2025;0
ITJ5007;2;mai;2025;2
ITJ5007;5;mai;2025;91
ITJ5007;26;fev;2025;736
ITJ5007;4;fev;2025;1440
ITJ5007;18;mar;2025;367
ITJ5007;15;jun;2025;186
ITJ5007;14;jan;2025;1218
ITJ5007;5;jun;2025;104
ITJ5007;23;jan;2025;1440
ITJ5007;7;abr;2025;1090
ITJ5007;23;jun;2025;1328
ITJ5007;2;fev;2025;1440
ITJ5007;20;mar;2025;420
ITJ5007;10;jun;2025;582
ITJ5007;9;jun;2025;0
ITJ5007;1;jan;2025;755
ITJ5007;17;mar;2025;0
ITJ5007;23;mai;2025;703
ITJ5007;2;mar;2025;1405
ITJ5007;2;abr;2025;200
ITJ5007;9;jan;2025;1021
ITJ5007;4;jun;2025;0
ITJ5007;25;jan;2025;1440
ITJ5007;27;mai;2025;1440
ITJ5007;10;mar;2025;591
ITJ5007;11;abr;2025;0
ITJ5007;25;fev;2025;0
ITJ5007;5;jan;2025;10
ITJ5007;21;mar;2025;590
ITJ5007;30;mai;2025;1149
ITJ5007;1;fev;2025;1440
ITJ5007;29;mar;2025;1325
ITJ5007;21;jun;2025;957
ITJ5007;13;fev;2025;1440
ITJ5007;21;mai;2025;1187
ITJ5007;24;mar;2025;423
ITJ5007;31;jan;2025;1440
ITJ5007;14;mai;2025;717
ITJ5007;29;mai;2025;1440
ITJ5007;10;abr;2025;944
ITJ5007;15;mar;2025;1299
ITJ5007;6;jun;2025;766
ITJ5007;16;jan;2025;1301
ITJ5007;22;jan;2025;1440
ITJ5007;5;abr;2025;783
ITJ5007;9;mar;2025;0
ITJ5007;6;mai;2025;691
ITJ5007;23;abr;2025;1440
ITJ5007;28;fev;2025;115
ITJ5007;3;abr;2025;531
ITJ5007;4;mai;2025;0
ITJ5007;20;fev;2025;1440
ITJ5007;15;abr;2025;835
ITJ5007;25;mai;2025;0
ITJ5007;27;abr;2025;0
ITJ5007;16;mar;2025;0
ITJ5007;17;fev;2025;1440
ITJ5007;11;jan;2025;345
ITJ5007;28;mai;2025;1440
ITJ5007;17;jan;2025;1043
ITJ5007;6;jan;2025;967
ITJ5007;2;jun;2025;139
ITJ5007;24;jan;2025;1440
ITJ5007;3;jun;2025;1019
ITJ5007;20;jun;2025;310
ITJ5007;19;abr;2025;1440
ITJ5007;22;mar;2025;0
ITJ5007;23;fev;2025;1255
ITJ5007;24;mai;2025;457
ITJ5007;7;jan;2025;1214
ITJ5007;14;fev;2025;1440
ITJ5007;25;jun;2025;1440
ITJ5007;11;jun;2025;712
ITJ5007;29;jun;2025;586
ITJ5007;21;fev;2025;1440
ITJ5007;1;abr;2025;352
ITJ5007;7;mai;2025;836
ITJ5007;17;jun;2025;602
ITJ5007;26;abr;2025;510
ITJ5007;7;fev;2025;1440
ITJ5007;29;abr;2025;1420
ITJ5007;3;jan;2025;929
ITJ5007;13;jun;2025;1245
ITJ5007;12;abr;2025;493
ITJ5007;3;mar;2025;950
ITJ5007;22;mai;2025;570
ITJ5007;10;jan;2025;472
ITJ5007;28;mar;2025;373
ITJ5007;13;mai;2025;1172
ITJ5007;16;jun;2025;1325
ITJ5007;3;mai;2025;477
ITJ5007;30;jan;2025;1440
ITJ5007;5;mar;2025;688
ITJ5007;2;jan;2025;368
ITJ5007;6;fev;2025;1440
ITJ5007;20;jan;2025;940
ITJ5007;12;mar;2025;110
ITJ5007;8;abr;2025;819
ITJ5007;11;mai;2025;1147
ITJ5007;6;mar;2025;1240
ITJ5007;27;mar;2025;455
ITJ5007;12;mai;2025;322
ITJ5007;19;fev;2025;1440
ITJ5007;12;fev;2025;1440
ITJ5007;5;fev;2025;1440
ITJ5007;23;mar;2025;0
ITJ5007;13;jan;2025;1440
ITJ5007;12;jun;2025;1410
ITJ5007;20;abr;2025;590
ITJ5007;18;mai;2025;700
ITJ5007;18;jan;2025;1290
ITJ5007;18;jun;2025;476
ITJ5007;26;mar;2025;1279
ITJ5007;28;jan;2025;1440
ITJ5007;9;mai;2025;428
ITJ5007;17;abr;2025;25
ITJ5007;24;fev;2025;520
ITJ5007;12;jan;2025;490
ITJ5007;14;jun;2025;1050
ITJ5007;1;mai;2025;1243
ITJ5007;15;fev;2025;1440
ITJ5007;19;mai;2025;82
ITJ5007;16;fev;2025;1440
ITJ5007;25;abr;2025;290
ITJ5007;28;jun;2025;1300
ITJ5007;8;mai;2025;0
ITJ5007;25;mar;2025;839
ITJ5007;22;fev;2025;1181
ITJ5007;7;mar;2025;342
ITJ5007;22;abr;2025;603
ITJ5007;10;mai;2025;499
ITJ5007;16;mai;2025;695
ITJ5007;3;fev;2025;1440
ITJ5007;9;abr;2025;1058
ITJ5007;13;mar;2025;0
ITJ5007;19;mar;2025;245
ITJ5007;8;jun;2025;1059
ITJ5007;30;jun;2025;0
ITJ5007;9;fev;2025;1440
ITJ5007;24;abr;2025;1198
ITJ5007;14;mar;2025;1265
ITJ5007;24;jun;2025;1440
ITJ5007;28;abr;2025;1323
ITJ5007;8;mar;2025;427
ITJ5007;4;jan;2025;1220
ITJ5007;26;jun;2025;1440
ITJ5007;11;mar;2025;764
ITJ5007;4;mar;2025;780
ITJ5007;10;fev;2025;1440
ITJ5007;30;mar;2025;739
ITJ5007;1;jun;2025;1165
ITJ5007;31;mar;2025;604
ITJ5007;31;mai;2025;695
ITJ5007;11;fev;2025;1440
ITJ5007;15;jan;2025;1353
ITJ5007;7;jun;2025;1085
ITJ5007;6;abr;2025;560
ITJ5007;26;jan;2025;1440
ITJ5007;18;fev;2025;1440
ITJ5007;30;abr;2025;1337
ITJ5007;17;mai;2025;991
ITJ5007;14;abr;2025;115
POAD202;15;mai;2025;0
POAD202;4;abr;2025;0
POAD202;27;fev;2025;0
POAD202;19;jan;2025;0
POAD202;22;jun;2025;0
POAD202;16;abr;2025;0
POAD202;27;jan;2025;0
POAD202;1;mar;2025;0
POAD202;13;abr;2025;0
POAD202;8;jan;2025;0
POAD202;26;mai;2025;0
POAD202;29;jan;2025;0
POAD202;27;jun;2025;0
POAD202;19;jun;2025;0
POAD202;18;abr;2025;0
POAD202;20;mai;2025;0
POAD202;21;jan;2025;0
POAD202;8;fev;2025;0
POAD202;21;abr;2025;0
POAD202;2;mai;2025;0
POAD202;5;mai;2025;0
POAD202;26;fev;2025;0
POAD202;4;fev;2025;0
POAD202;18;mar;2025;0
POAD202;15;jun;2025;0
POAD202;14;jan;2025;0
POAD202;5;jun;2025;0
POAD202;23;jan;2025;0
POAD202;7;abr;2025;0
POAD202;23;jun;2025;0
POAD202;2;fev;2025;0
POAD202;20;mar;2025;0
POAD202;10;jun;2025;0
POAD202;9;jun;2025;0
POAD202;1;jan;2025;0
POAD202;17;mar;2025;0
POAD202;23;mai;2025;0
POAD202;2;mar;2025;0
POAD202;2;abr;2025;0
POAD202;9;jan;2025;0
POAD202;4;jun;2025;0
POAD202;25;jan;2025;0
POAD202;27;mai;2025;0
POAD202;10;mar;2025;0
POAD202;11;abr;2025;0
POAD202;25;fev;2025;0
POAD202;5;jan;2025;0
POAD202;21;mar;2025;0
POAD202;30;mai;2025;0
POAD202;1;fev;2025;0
POAD202;29;mar;2025;0
POAD202;21;jun;2025;0
POAD202;13;fev;2025;0
POAD202;21;mai;2025;0
POAD202;24;mar;2025;0
POAD202;31;jan;2025;0
POAD202;14;mai;2025;0
POAD202;29;mai;2025;0
POAD202;10;abr;2025;0
POAD202;15;mar;2025;0
POAD202;6;jun;2025;0
POAD202;16;jan;2025;0
POAD202;22;jan;2025;0
POAD202;5;abr;2025;0
POAD202;9;mar;2025;0
POAD202;6;mai;2025;0
POAD202;23;abr;2025;0
POAD202;28;fev;2025;0
POAD202;3;abr;2025;0
POAD202;4;mai;2025;0
POAD202;20;fev;2025;0
POAD202;15;abr;2025;0
POAD202;25;mai;2025;0
POAD202;27;abr;2025;0
POAD202;16;mar;2025;0
POAD202;17;fev;2025;0
POAD202;11;jan;2025;0
POAD202;28;mai;2025;0
POAD202;17;jan;2025;0
POAD202;6;jan;2025;0
POAD202;2;jun;2025;0
POAD202;24;jan;2025;0
POAD202;3;jun;2025;0
POAD202;20;jun;2025;0
POAD202;19;abr;2025;0
POAD202;22;mar;2025;0
POAD202;23;fev;2025;0
POAD202;24;mai;2025;0
POAD202;7;jan;2025;0
POAD202;14;fev;2025;0
POAD202;25;jun;2025;0
POAD202;11;jun;2025;0
POAD202;29;jun;2025;0
POAD202;21;fev;2025;0
POAD202;1;abr;2025;0
POAD202;7;mai;2025;0
POAD202;17;jun;2025;0
POAD202;26;abr;2025;0
POAD202;7;fev;2025;0
POAD202;29;abr;2025;0
POAD202;3;jan;2025;0
POAD202;13;jun;2025;0
POAD202;12;abr;2025;0
POAD202;3;mar;2025;0
POAD202;22;mai;2025;0
POAD202;10;jan;2025;0
POAD202;28;mar;2025;0
POAD202;13;mai;2025;0
POAD202;16;jun;2025;0
POAD202;3;mai;2025;0
POAD202;30;jan;2025;0
POAD202;5;mar;2025;0
POAD202;2;jan;2025;0
POAD202;6;fev;2025;0
POAD202;20;jan;2025;0
POAD202;12;mar;2025;0
POAD202;8;abr;2025;0
POAD202;11;mai;2025;0
POAD202;6;mar;2025;0
POAD202;27;mar;2025;0
POAD202;12;mai;2025;0
POAD202;19;fev;2025;0
POAD202;12;fev;2025;0
POAD202;5;fev;2025;0
POAD202;23;mar;2025;0
POAD202;13;jan;2025;0
POAD202;12;jun;2025;0
POAD202;20;abr;2025;0
POAD202;18;mai;2025;0
POAD202;18;jan;2025;0
POAD202;18;jun;2025;0
POAD202;26;mar;2025;0
POAD202;28;jan;2025;0
POAD202;9;mai;2025;0
POAD202;17;abr;2025;0
POAD202;24;fev;2025;0
POAD202;12;jan;2025;0
POAD202;14;jun;2025;0
POAD202;1;mai;2025;0
POAD202;15;fev;2025;0
POAD202;19;mai;2025;0
POAD202;16;fev;2025;0
POAD202;25;abr;2025;0
POAD202;28;jun;2025;0
POAD202;8;mai;2025;0
POAD202;25;mar;2025;0
POAD202;22;fev;2025;0
POAD202;7;mar;2025;0
POAD202;22;abr;2025;0
POAD202;10;mai;2025;0
POAD202;16;mai;2025;0
POAD202;3;fev;2025;0
POAD202;9;abr;2025;0
POAD202;13;mar;2025;0
POAD202;19;mar;2025;0
POAD202;8;jun;2025;0
POAD202;30;jun;2025;0
POAD202;9;fev;2025;0
POAD202;24;abr;2025;0
POAD202;14;mar;2025;0
POAD202;24;jun;2025;0
POAD202;28;abr;2025;0
POAD202;8;mar;2025;0
POAD202;4;jan;2025;0
POAD202;26;jun;2025;0
POAD202;11;mar;2025;0
POAD202;4;mar;2025;0
POAD202;10;fev;2025;0
POAD202;30;mar;2025;0
POAD202;1;jun;2025;0
POAD202;31;mar;2025;0
POAD202;31;mai;2025;0
POAD202;11;fev;2025;0
POAD202;15;jan;2025;0
POAD202;7;jun;2025;0
POAD202;6;abr;2025;0
POAD202;26;jan;2025;0
POAD202;18;fev;2025;0
POAD202;30;abr;2025;0
POAD202;17;mai;2025;0
POAD202;14;abr;2025;0
POAD306;15;mai;2025;0
POAD306;4;abr;2025;0
POAD306;27;fev;2025;0
POAD306;19;jan;2025;0
POAD306;22;jun;2025;0
POAD306;16;abr;2025;0
POAD306;27;jan;2025;0
POAD306;1;mar;2025;0
POAD306;13;abr;2025;0
POAD306;8;jan;2025;0
POAD306;26;mai;2025;0
POAD306;29;jan;2025;0
POAD306;27;jun;2025;0
POAD306;19;jun;2025;0
POAD306;18;abr;2025;0
POAD306;20;mai;2025;0
POAD306;21;jan;2025;0
POAD306;8;fev;2025;0
POAD306;21;abr;2025;0
POAD306;2;mai;2025;0
POAD306;5;mai;2025;0
POAD306;26;fev;2025;0
POAD306;4;fev;2025;0
POAD306;18;mar;2025;0
POAD306;15;jun;2025;0
POAD306;14;jan;2025;0
POAD306;5;jun;2025;0
POAD306;23;jan;2025;0
POAD306;7;abr;2025;0
POAD306;23;jun;2025;0
POAD306;2;fev;2025;0
POAD306;20;mar;2025;0
POAD306;10;jun;2025;0
POAD306;9;jun;2025;0
POAD306;1;jan;2025;0
POAD306;17;mar;2025;0
POAD306;23;mai;2025;0
POAD306;2;mar;2025;0
POAD306;2;abr;2025;0
POAD306;9;jan;2025;0
POAD306;4;jun;2025;0
POAD306;25;jan;2025;0
POAD306;27;mai;2025;0
POAD306;10;mar;2025;0
POAD306;11;abr;2025;0
POAD306;25;fev;2025;0
POAD306;5;jan;2025;0
POAD306;21;mar;2025;0
POAD306;30;mai;2025;0
POAD306;1;fev;2025;0
POAD306;29;mar;2025;0
POAD306;21;jun;2025;0
POAD306;13;fev;2025;0
POAD306;21;mai;2025;0
POAD306;24;mar;2025;0
POAD306;31;jan;2025;0
POAD306;14;mai;2025;0
POAD306;29;mai;2025;0
POAD306;10;abr;2025;0
POAD306;15;mar;2025;0
POAD306;6;jun;2025;0
POAD306;16;jan;2025;0
POAD306;22;jan;2025;0
POAD306;5;abr;2025;0
POAD306;9;mar;2025;0
POAD306;6;mai;2025;0
POAD306;23;abr;2025;0
POAD306;28;fev;2025;0
POAD306;3;abr;2025;0
POAD306;4;mai;2025;0
POAD306;20;fev;2025;0
POAD306;15;abr;2025;0
POAD306;25;mai;2025;0
POAD306;27;abr;2025;0
POAD306;16;mar;2025;0
POAD306;17;fev;2025;0
POAD306;11;jan;2025;0
POAD306;28;mai;2025;0
POAD306;17;jan;2025;0
POAD306;6;jan;2025;0
POAD306;2;jun;2025;0
POAD306;24;jan;2025;0
POAD306;3;jun;2025;0
POAD306;20;jun;2025;0
POAD306;19;abr;2025;0
POAD306;22;mar;2025;0
POAD306;23;fev;2025;0
POAD306;24;mai;2025;0
POAD306;7;jan;2025;0
POAD306;14;fev;2025;0
POAD306;25;jun;2025;0
POAD306;11;jun;2025;0
POAD306;29;jun;2025;0
POAD306;21;fev;2025;0
POAD306;1;abr;2025;0
POAD306;7;mai;2025;0
POAD306;17;jun;2025;0
POAD306;26;abr;2025;0
POAD306;7;fev;2025;0
POAD306;29;abr;2025;0
POAD306;3;jan;2025;0
POAD306;13;jun;2025;0
POAD306;12;abr;2025;0
POAD306;3;mar;2025;0
POAD306;22;mai;2025;0
POAD306;10;jan;2025;0
POAD306;28;mar;2025;0
POAD306;13;mai;2025;0
POAD306;16;jun;2025;0
POAD306;3;mai;2025;0
POAD306;30;jan;2025;0
POAD306;5;mar;2025;0
POAD306;2;jan;2025;0
POAD306;6;fev;2025;0
POAD306;20;jan;2025;0
POAD306;12;mar;2025;0
POAD306;8;abr;2025;0
POAD306;11;mai;2025;0
POAD306;6;mar;2025;0
POAD306;27;mar;2025;0
POAD306;12;mai;2025;0
POAD306;19;fev;2025;0
POAD306;12;fev;2025;0
POAD306;5;fev;2025;0
POAD306;23;mar;2025;0
POAD306;13;jan;2025;0
POAD306;12;jun;2025;0
POAD306;20;abr;2025;0
POAD306;18;mai;2025;0
POAD306;18;jan;2025;0
POAD306;18;jun;2025;0
POAD306;26;mar;2025;0
POAD306;28;jan;2025;0
POAD306;9;mai;2025;0
POAD306;17;abr;2025;0
POAD306;24;fev;2025;0
POAD306;12;jan;2025;0
POAD306;14;jun;2025;0
POAD306;1;mai;2025;0
POAD306;15;fev;2025;0
POAD306;19;mai;2025;0
POAD306;16;fev;2025;0
POAD306;25;abr;2025;0
POAD306;28;jun;2025;0
POAD306;8;mai;2025;0
POAD306;25;mar;2025;0
POAD306;22;fev;2025;0
POAD306;7;mar;2025;0
POAD306;22;abr;2025;0
POAD306;10;mai;2025;0
POAD306;16;mai;2025;0
POAD306;3;fev;2025;0
POAD306;9;abr;2025;0
POAD306;13;mar;2025;0
POAD306;19;mar;2025;0
POAD306;8;jun;2025;0
POAD306;30;jun;2025;0
POAD306;9;fev;2025;0
POAD306;24;abr;2025;0
POAD306;14;mar;2025;0
POAD306;24;jun;2025;0
POAD306;28;abr;2025;0
POAD306;8;mar;2025;0
POAD306;4;jan;2025;0
POAD306;26;jun;2025;0
